# captured_at	2026-07-18
# zhighs_commit	ceeee07ce38d2671d5fae1345b93ca1b5f6f11ae
# highs_commit	de09bbad9fb7c5d39a1a464a7641bbb5531c6e9d
# zig	0.16.0	ReleaseFast
# cxx	Ubuntu GCC 13.3.0	-O3 -march=native -DNDEBUG -flto
# host	WSL2 Linux 6.6.87.2	i9-10900KF
# random_seed	none; solver and corpus order are deterministic
model	zhighs_status	zhighs_objective	zhighs_iterations	zhighs_primal_residual	zhighs_dual_residual	zhighs_ray_residual	zhighs_ray_objective	zhighs_factorizations	zhighs_reinversions	zhighs_ft_updates	zhighs_solve_ns	highs_status	highs_objective	highs_iterations	highs_primal_residual	highs_dual_residual	highs_solve_ns
adlittle	optimal	225494.96316238024	141	5.684342e-14	2.273737e-13	inf	0	5	3	0	1734503	Optimal	225494.96316238018	74	0	1.0800249583553523e-12	2912705
afiro	optimal	-464.75314285714285	18	2.842171e-14	5.551115e-17	inf	0	4	2	0	129300	Optimal	-464.75314285714285	22	1.1368683772161603e-13	0	1662803
agg	optimal	-35991767.28657651	152	4.656613e-10	9.094947e-13	inf	0	5	3	147	4409208	Optimal	-35991767.286577545	206	0	1.7763568394002505e-15	13481524
beaconfd	optimal	33592.48580719999	112	8.064660e-12	1.332268e-15	inf	0	5	3	110	1930604	Optimal	33592.485807199992	101	0	0	4866409
bgetam	infeasible	0	1009	5.433448e1	1.136868e-13	inf	0	15	13	892	25073145	Infeasible	-448.21498884081399	11	7953.9158295566085	0	5547510
blend	optimal	-30.81214984582823	1385	9.947598e-14	1.238593e-15	inf	0	32	31	1343	10371519	Optimal	-30.812149845828216	109	0	6.2450045135165055e-15	5064309
bore3d	optimal	1373.0803942084926	263	9.094947e-13	2.586820e-14	inf	0	8	6	240	4102607	Optimal	1373.0803942084926	202	0	0	12931823
box1	infeasible	0	150	1	0	inf	0	4	2	149	1771703	Infeasible	268	20	1	9.9584676283015483e-08	2520804
brandy	optimal	1518.509896488128	3384	2.728484e-12	9.825474e-15	inf	0	51	49	2937	58325605	Optimal	1518.5098964881281	304	0	8.1878948066105295e-16	22318440
capri	optimal	2690.0129137681606	701	5.115908e-13	4.618528e-14	inf	0	9	7	509	11622421	Optimal	2690.0129137681602	298	3.5527136788005009e-15	0	11617921
etamacro	optimal	-755.7152332139882	1370	1.278977e-13	5.296183e-8	inf	0	21	19	1142	33554560	Optimal	-755.71523330052764	532	0	9.5501876629100479e-08	26003747
ex72a	infeasible	0	215	1	0	inf	0	5	3	209	2480404	Infeasible	356	139	1	0	3502006
finnis	optimal	172791.06559561158	1015	5.400125e-13	2.273737e-13	inf	0	17	15	917	33041259	Optimal	172791.06559561158	354	3.5994686038185035e-14	3.5527136788005009e-15	14602926
forest6	infeasible	0	85	7.990551e2	8.881784e-16	inf	0	4	2	84	456201	Infeasible	1388164.0689134004	77	243521.54761904752	0	3045005
galenet	infeasible	0	8	28	0	inf	0	3	1	0	43000	Infeasible	0	6	28	7.5627416480709634e-13	1100102
gams10am	infeasible	0	24	1.897521	0	inf	0	3	1	23	254800	Infeasible	1	15	6.1818181820000007	1.2802730892492953e-08	1957204
gas11	unbounded	0	866	9.998999e-8	3.600008e7	1.705303e-13	-3.600008e7	11	9	630	21147438	Unbounded	-6841405577.4399462	699	0	126607343.57899815	48786288
grow7	optimal	-47787811.8147115	374	7.627250e-10	2.842171e-14	inf	0	11	10	347	8035015	Optimal	-47787811.814711481	339	0	1.6697754290362354e-13	20785837
israel	optimal	-896644.8218630461	288	1.164153e-10	6.927792e-13	inf	0	8	6	286	5284210	Optimal	-896644.8218630465	146	0	8.0717654782347381e-12	11441921
kb2	optimal	-1749.9001299062058	171	1.818989e-12	5.218048e-15	inf	0	50	3	0	2233204	Optimal	-1749.9001299062056	50	0	0	2614105
klein1	infeasible	0	208	1.000110e2	4.586510e-5	inf	0	6	4	0	2769905	Infeasible	0	134	5345402.6181586981	0	8516115
lotfi	optimal	-25.264706061880002	962	9.094947e-13	5.551115e-17	inf	0	9	7	330	7406614	Optimal	-25.264706061879991	256	1.8189894035458565e-12	0	14505126
recipe	optimal	-266.61600000000027	63	0	0	inf	0	4	2	53	498001	Optimal	-266.61600000000027	45	0	0	2445004
refinery	infeasible	0	798	1.131409e4	2.514259e-8	inf	0	11	9	553	14137125	Infeasible	5485915551.6174393	396	170508253.61017075	0	18265833
sc105	optimal	-52.20206121170722	115	1.136868e-13	1.110223e-16	inf	0	3	2	106	911501	Optimal	-52.202061211707225	124	6.1201101592406158e-14	0	4596809
sc205	optimal	-52.202061211707225	305	1.563194e-13	2.220446e-16	inf	0	4	3	261	3909407	Optimal	-52.202061211707203	237	3.7895612573872008e-14	0	12692823
sc50a	optimal	-64.57507705856449	50	1.705303e-13	1.804112e-16	inf	0	2	1	0	578001	Optimal	-64.575077058564503	55	0	0	2079803
sc50b	optimal	-70	54	1.136868e-13	1.110223e-16	inf	0	2	1	0	560801	Optimal	-70.000000000000014	48	0	0	1958503
scagr25	optimal	-14753433.060768528	1467	3.637979e-12	9.752199e-13	inf	0	15	13	1054	36017265	Optimal	-14753433.060768528	535	0	0	31574557
scagr7	optimal	-2331389.824330984	372	9.094947e-13	3.010925e-13	inf	0	5	3	196	2624105	Optimal	-2331389.8243309841	165	0	0	5424209
scfxm1	optimal	18416.759028348944	572	1.818989e-12	1.065814e-14	inf	0	10	8	490	12649822	Optimal	18416.759028348941	484	0	0	25708046
scorpion	optimal	1878.1248227381068	515	3.885781e-16	2.842171e-13	inf	0	9	7	459	10566719	Optimal	1878.1248227381068	322	0	0	8683416
scrs8	optimal	904.2969538007918	1716	7.105427e-15	9.094947e-13	inf	0	23	21	1247	49462488	Optimal	904.2969538007917	604	0	0	35459664
scsd1	optimal	8.666666674333367	559	5.551115e-17	1.490712e-8	inf	0	348	2	193	13025924	Optimal	8.6666666743333636	86	0	2.6084818749438909e-09	8771116
seba	optimal	15711.599999999999	564	0	0	inf	0	10	8	528	17662932	Optimal	15711.599999999999	439	0	0	15412127
share1b	optimal	-76589.31857918562	853	5.191192e-10	1.065814e-14	inf	0	8	6	331	6454112	Optimal	-76589.31857918571	223	0	0	9029817
share2b	optimal	-415.7322407414194	151	4.547474e-13	1.705303e-13	inf	0	5	3	129	1251402	Optimal	-415.73224074141882	104	0	2.0261570199409107e-15	4230607
shell	optimal	1208825346	1205	0	0	inf	0	15	13	1201	42459476	Optimal	1208825346	623	0	0	19269635
vtp-base	optimal	129831.46246136134	663	2.228262e-11	1.455192e-11	inf	0	15	13	426	6683812	Optimal	129831.46246136136	154	0	0	9112116
woodinfe	infeasible	0	44	10	0	inf	0	3	1	0	308200	Infeasible	22745	36	10	0	1589303
