# captured_at	2026-07-18
# method	2 warmups + 7 measured runs; total runs disable statistics; phase runs enable statistics
# environment	Zig 0.16.0 ReleaseFast; HiGHS de09bbad9f; WSL2; i9-10900KF
model	metric	runs	median	p95	minimum	maximum
brandy	btran	7	8409100	8737700	8371798	8737700
brandy	ftran	7	10229000	10658798	9992097	10658798
brandy	highs_total	7	21619697	22504397	19128397	22504397
brandy	invert	7	2756599	2808300	2702799	2808300
brandy	peak_rss_kb	7	2128	2128	2128	2128
brandy	phase1	7	56716993	57764792	56333593	57764792
brandy	phase2	7	6237400	6341899	6124699	6341899
brandy	price	7	16031899	16078298	15857598	16078298
brandy	rebuild	7	2753699	2800800	2699599	2800800
brandy	requested_bytes	7	394588	394588	394588	394588
brandy	update	7	6927299	7240100	6867098	7240100
brandy	zhighs_total	7	57250492	60090592	56996392	60090592
gas11	btran	7	2353000	2456100	2312500	2456100
gas11	ftran	7	3129199	3214099	2988900	3214099
gas11	highs_total	7	47153894	48296193	44588494	48296193
gas11	invert	7	878100	949800	872700	949800
gas11	peak_rss_kb	7	2120	2128	1948	2128
gas11	phase1	7	17654597	18311698	17260598	18311698
gas11	phase2	7	5531699	5744599	5482200	5744599
gas11	price	7	7105698	7168598	6868099	7168598
gas11	rebuild	7	800300	868200	791600	868200
gas11	requested_bytes	7	629741	629741	629741	629741
gas11	update	7	2033500	2084100	2017000	2084100
gas11	zhighs_total	7	20764997	21706097	20548598	21706097
sc105	btran	7	123300	150800	120700	150800
sc105	ftran	7	144300	148700	143799	148700
sc105	highs_total	7	5646299	6368599	4368800	6368599
sc105	invert	7	102000	116600	98600	116600
sc105	peak_rss_kb	7	2132	2136	2128	2136
sc105	phase1	7	0	0	0	0
sc105	phase2	7	882100	1005700	875199	1005700
sc105	price	7	135000	141000	132400	141000
sc105	rebuild	7	72800	88200	70900	88200
sc105	requested_bytes	7	145752	145752	145752	145752
sc105	update	7	129500	137800	126900	137800
sc105	zhighs_total	7	904200	944700	893200	944700
scsd1	btran	7	801400	866900	791300	866900
scsd1	ftran	7	1449700	1528700	1416500	1528700
scsd1	highs_total	7	6457500	8903200	6138300	8903200
scsd1	invert	7	4653499	5276300	4621700	5276300
scsd1	peak_rss_kb	7	2136	2136	2136	2136
scsd1	phase1	7	901400	1048800	884300	1048800
scsd1	phase2	7	12977899	13558299	12836699	13558299
scsd1	price	7	4694800	4951400	4662500	4951400
scsd1	rebuild	7	4712999	5335000	4674300	5335000
scsd1	requested_bytes	7	183485	183485	183485	183485
scsd1	update	7	204000	303900	197200	303900
scsd1	zhighs_total	7	12996699	13711199	12844499	13711199
